"match_id","ldir_idx","ftir_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","ldir_align_method","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
21,23,358,537.886955975277,538.306727246764,"A23",-2841.956,-5675.358,9212.5,263,86,86,263,"Cellulosic",0.917786851676572,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.303828675965,3.04473685574197,0.187061909227059,"circle_calibrated",-5738.25869306931,2261.9499049505,-4507.21854209958,1280.7249987771,"landmark_ransac","MP_24",11625,3150,28750,238.6,153.4,192.5,238.6,"PET",0.888,"Comparstic Spotlight F2Ba Au 240926.csv",-4655.29423868918,1797.82843667696,-4655.29423868918,1797.82843667696,1,38.7505610680272,13.8807527207414,TRUE
22,24,66,75.717015247288,76.4569192428532,"A24",-2480.972,3535.402,9050,145,100,100,145,"Polyamide (naturally occurring)",0.781205877791979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",107.344389140063,0.689655172413793,0.270220143205093,"circle_calibrated",3472.50130693069,1900.9659049505,3991.50473223892,879.277410831677,"landmark_ransac","MP_-1",2975,3375,1875,60.4,39.6,30,60.4,"Protein",0.793,"Comparstic Spotlight F2Ba Au 240926.csv",3935.91576618118,930.686877378115,3935.91576618118,930.686877378115,0,285.146112155709,0.265537603423264,FALSE
23,25,252,28.9476252519132,29.4613037210044,"A25",-4213.456,-1882.582,8875,417,53,53,417,"Cellulosic",0.928891530055395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",106.30146264057,0.127386197322976,0.218028958698519,"circle_calibrated",-1945.48269306931,3633.4499049505,-996.376257413936,2518.48996987969,"landmark_ransac","MP_-1",8000,2175,35625,543.7,83.4,130,543.7,"Cellulose",0.878,"Comparstic Spotlight F2Ba Au 240926.csv",-975.416452361474,2498.52370884043,-975.416452361474,2498.52370884043,1,597.836204416777,0.0484206627802898,FALSE
24,26,9,3.57753934312175,3.67606964406269,"A26",-2540.018,5456.308,8087.5,175,72,72,175,"Polyethylene terephthalate",0.921203429248864,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",101.475735119513,0.412422379390774,0.237207952143502,"circle_calibrated",5393.40730693069,1960.0119049505,5764.91088549288,919.539428397321,"landmark_ransac","MP_1",1150,3250,6875,152.5,57.4,75,152.5,"PET",0.848,"Comparstic Spotlight F2Ba Au 240926.csv",5761.33747753324,919.367546735645,5761.33747753324,919.367546735645,1,397.96695958629,0.00898953859596991,FALSE
25,28,232,146.148474842349,146.372464575531,"A28",5167.162,-1987.596,6925,107,89,89,107,"Polyethylene terephthalate",0.866495534103227,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",93.8998607415954,0.830845715471495,0.0398501652581897,"circle_calibrated",-2050.49669306931,-5747.16809504951,-1162.82611060242,-6138.90688348329,"landmark_ransac","MP_-1",7525,10675,4375,80.9,68.9,55,80.9,"Protein",0.815,"Comparstic Spotlight F2Ba Au 240926.csv",-1134.80721041346,-5995.46937816844,-1134.80721041346,-5995.46937816844,0,319.853852846685,0.456922664965997,FALSE
26,29,95,38.2938364051095,39.2095475206296,"A29",-2692.17,2554.604,6787.5,291,80,80,291,"Cellulosic",0.844400536822395,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.9629679490168,3.62500035579862,0.034066508849147,"circle_calibrated",2491.70330693069,2112.1639049505,3087.80759187385,1081.47919884243,"landmark_ransac","MP_-1",3825,3325,1875,60.4,39.6,30,60.4,"Cellulose",0.669,"Comparstic Spotlight F2Ba Au 240926.csv",3093.76680055188,1043.65188412736,3093.76680055188,1043.65188412736,1,149.092741876182,0.256845745293971,FALSE
27,30,246,17.681692171825,17.911754798808,"A30",-1384.76,-1887.288,6725,140,71,71,140,"Polyethylene terephthalate",0.892760518130499,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",92.5339718068125,1.98611115707511,0.0825945706315636,"circle_calibrated",-1950.18869306931,804.753904950495,-1021.68440493544,-92.3207726870736,"landmark_ransac","MP_13",7850,4750,5000,95.7,66.5,75,95.7,"PET",0.737,"Comparstic Spotlight F2Ba Au 240926.csv",-1017.62920895358,-75.1103797918529,-1017.62920895358,-75.1103797918529,1,144.646319681956,0.12224087146291,FALSE
28,31,14,30.7936394781001,31.073691308935,"A31",-2806.18,5048.108,6600,113,74,74,113,"Cellulosic",0.927399984619523,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",91.6699568847508,1.52380948711022,0.362020667405384,"circle_calibrated",4985.20730693069,2226.17390495049,5390.12080254394,1168.22844713634,"landmark_ransac","MP_2",1550,3000,3750,80.9,59,50,80.9,"PET",0.878,"Comparstic Spotlight F2Ba Au 240926.csv",5381.87299948483,1197.89698227047,5381.87299948483,1197.89698227047,1,186.687001615084,0.164947956803073,FALSE
29,32,8,7.97751029805352,8.19903838249942,"A32",-1927.094,5573.932,6450,111,81,81,111,"Polyethylene terephthalate",0.881695252838208,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.6222658265715,1.37755096363061,0.324015935919744,"circle_calibrated",5511.03130693069,1347.0879049505,5868.93352088757,352.947656570694,"landmark_ransac","MP_0",1000,3800,3750,104.1,45.9,77.5,104.1,"PET",0.886,"Comparstic Spotlight F2Ba Au 240926.csv",5869.70876935102,360.88740847963,5869.70876935102,360.88740847963,1,404.215651087824,0.0197357778616055,FALSE
30,34,360,7.0706791160636,7.40426768855714,"A34",1053.182,-6377.462,4662.5,97,65,65,97,"Polyethylene terephthalate",0.893210651413161,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",77.0485520780741,1.48148141136173,0.046927548326225,"circle_calibrated",-6440.36269306931,-1633.18809504951,-5184.11880836789,-2309.22764202476,"landmark_ransac","MP_-1",11850,7300,10000,136.8,93.1,100,136.8,"Protein",0.959,"Comparstic Spotlight F2Ba Au 240926.csv",-5187.80457929939,-2315.26167846837,-5187.80457929939,-2315.26167846837,1,382.591966541605,0.0184809921127675,FALSE
