"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"404","MP_-1","Protein",4.44007373602183,"A106","Polyamide (naturally occurring)",8.44399594027722,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"406","MP_-1","Protein",21.6037706251205,"A210","Polyamide (naturally occurring)",6.23267752515415,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"411","MP_-1","Protein",11.3057241556128,"A73","Polyamide (naturally occurring)",3.93775496925288,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"417","MP_-1","Protein",33.1836298316918,"A342","Polyamide (naturally occurring)",6.00500749669029,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"423","MP_-1","Protein",85.7835756111716,"A280","Polyamide (naturally occurring)",5.66944660060131,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"43","MP_-1","Protein",10.6243057995469,"A100","Polyamide (naturally occurring)",7.83086991453336,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"431","MP_-1","Protein",19.454754481385,"A324","Cellulosic",14.7751816579062,"Cellulose Acetate Butyrate (CAB)",1,"Protein","Cellulose","Cellulose","LDIR+Raman agree"
"432","MP_-1","Protein",22.8597705144108,"A51","Polyamide (naturally occurring)",14.6313065736879,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"434","MP_-1","Protein",8.91798253833372,"A425","Polyamide (naturally occurring)",5.5140361095129,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"435","MP_-1","Protein",6.51362240864784,"A318","Polyamide (naturally occurring)",1.1561408335505,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"437","MP_-1","Protein",17.7240953039539,"A284","Polyethylene terephthalate",11.9400358222218,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PET","No agreement"
"44","MP_-1","Protein",8.0950243333653,"A353","Polyamide (naturally occurring)",7.54436403817157,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"440","MP_-1","Protein",25.6969665452006,"A444","Polyamide",8.50403473807821,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PA","No agreement"
"453","MP_-1","Protein",6.08004405055261,"A310","Polyamide (naturally occurring)",4.05898358869785,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","Natural","No agreement"
"455","MP_-1","Protein",17.07100252424,"A138","Polyethylene terephthalate",13.8022975325384,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","PET","No agreement"
"461","MP_-1","Cellulose",18.9437816487902,"A61","Cellulosic",23.0332994005804,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"462","MP_-1","Cellulose",26.1270825590526,"A454","Cellulosic",24.4329419157838,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"469","MP_-1","Protein",11.9698108125244,"A83","Polyethylene terephthalate",24.6367706547431,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PET","No agreement"
"47","MP_-1","Cellulose",16.329736439962,"A474","Polyamide (naturally occurring)",5.58438869994655,"Polyacrylamide/acrylate",0,"Cellulose","Acrylate","Natural","No agreement"
"470","MP_-1","Protein",27.1784352745923,"A429","Polyamide (naturally occurring)",21.9150151099663,"Polytetrafluoroethylene (PTFE)",0,"Protein","PTFE","Natural","No agreement"
"48","MP_-1","Protein",25.8928818532192,"A213","Polycarbonate",7.42152137662715,"Polycarbonate (PC)",1,"Protein","PC","PC","LDIR+Raman agree"
"484","MP_-1","Protein",26.9041853401726,"A143","Carbonate",5.09342773663613,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"487","MP_-1","Protein",13.6504697773995,"A403","Polyamide (naturally occurring)",4.36169338170488,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"491","MP_-1","Protein",14.5973803016543,"A378","Polyamide (naturally occurring)",18.8998317937952,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"493","MP_-1","Cellulose",6.09244599947256,"A62","Polyamide (naturally occurring)",4.54433572693882,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"496","MP_-1","Protein",7.95107612894451,"A349","Polyamide (naturally occurring)",11.371431689461,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"501","MP_-1","Protein",22.0176175144361,"A107","Polyamide (naturally occurring)",22.012627124111,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"506","MP_15","PET",31.2569383541997,"A2","Polyethylene terephthalate",19.0353582432276,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"513","MP_-1","Protein",24.7700887114974,"A71","Polyethylene terephthalate",9.28089073503464,"Polytetrafluoroethylene (PTFE)",0,"Protein","PTFE","PET","No agreement"
"514","MP_10","PET",0.736868338488803,"A13","Polyethylene terephthalate",7.31859393204255,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"517","MP_-1","Protein",11.1826059421936,"A464","Polyamide (naturally occurring)",9.59604683310286,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"528","MP_-1","Protein",9.57497277393699,"A67","Polyamide (naturally occurring)",10.5966892754161,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"533","MP_-1","Cellulose",4.58708044998465,"A91","Polycarbonate",9.65597601360083,"Polyamide (PA)",0,"Cellulose","PA","PC","No agreement"
"537","MP_-1","Protein",14.614544616459,"A503","Rubber",16.7553451216166,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Rubber","No agreement"
"538","MP_-1","Protein",15.1276524101383,"A499","Polycarbonate",0.368656423687833,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PC","No agreement"
"547","MP_-1","Cellulose",11.0237641689711,"A504","Polyamide (naturally occurring)",15.4242176968743,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"550","MP_-1","Protein",21.2192456179843,"A92","Polyamide (naturally occurring)",15.9597260411192,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"554","MP_19","PET",9.85467520919661,"A12","Polyethylene terephthalate",3.66723396817647,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"556","MP_-1","Protein",12.0064345307181,"A212","Polyamide (naturally occurring)",16.3577298640974,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"561","MP_18","PET",15.6519464199206,"A14","Polyethylene terephthalate",59.8361883592212,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
