"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A170",4797.27083333333,5173.72916666667,0.56340130307513,"image","Polyamide (naturally occurring)",0.94995253895931,34
"A171",4627.24166666667,10377.8458333333,0.62122819621813,"image","Polycarbonate",0.838984365484226,35
"A172",3944.525,8309.16666666667,0.535119626660811,"image","Polyamide (naturally occurring)",0.929841015772383,42
"A173",7272.2,6806.85416666667,0.772791278537931,"image","Polyamide (naturally occurring)",0.885576840828974,42
"A174",2516.25833333333,3702.61666666666,0.701362941933681,"image","Carbonate",0.864125561005239,55
"A175",8790.1125,2422.98333333333,0.513362597219092,"image","Cellulosic",0.896571768697195,35
"A176",4137.03333333333,8249.58333333333,0.513362597219092,"image","Polyamide (naturally occurring)",0.970222003369141,35
"A177",1902.33333333333,8686.70833333333,0.454999018812631,"image","Polyamide (naturally occurring)",0.924178145895416,40
"A178",6243.79166666667,1718.70833333333,0.339702466078804,"image","Polyamide (naturally occurring)",0.933518357332773,30
"A179",3930.33333333333,6946.7125,0.580656232953084,"image","Polyamide (naturally occurring)",0.950747285026925,35
"A180",8059.8375,4361.06666666667,0.339702466078804,"image","Carbonate",0.686957881547874,30
"A181",4431.2125,5768.64166666667,0.615360958639168,"image","Polyamide (naturally occurring)",0.917362687058753,40
"A182",8464.57083333333,861.845833333333,0.755593708630126,"image","Cellulosic",0.915730224189129,57
"A183",5043.94583333333,346.9375,0.3932979982147,"image","Polyamide (naturally occurring)",0.933151115187775,35
"A184",2788.9875,10416.25,0.3932979982147,"image","Cellulosic",0.857782237441678,35
"A185",1689.025,5754.39583333333,0.500679789695878,"image","Polyamide (naturally occurring)",0.888156963241818,33
"A186",5262.725,10649.4916666667,0.323693726381799,"image","Polyamide (naturally occurring)",0.955234345501191,32
"A187",6613.85833333333,8695.64583333333,0.622257909985599,"image","Polyamide (naturally occurring)",0.920401598358279,44
"A188",3421.54583333333,10102.0833333333,0.789713270802946,"image","Cellulosic",0.951939672642685,50
"A189",5522.99583333333,4071.49166666667,0.421023145323361,"image","Polyamide (naturally occurring)",0.916358019690294,35
"A190",5208.66666666667,6319.08333333333,0.421023145323361,"image","Polyamide (naturally occurring)",0.951073079205133,35
"A191",5534.425,1504.2625,0.277702671351676,"image","Carbonate",0.640328729755508,32
"A192",2108.05833333333,6310.57916666667,0.487788841635622,"image","Polyamide (naturally occurring)",0.971536211064836,35
"A193",11674.5958333333,7166.4125,0.510807219951282,"image","Polyamide (naturally occurring)",0.970980710900523,40
"A194",5166.57916666667,7844.57916666667,0.504595959952003,"image","Polyamide (naturally occurring)",0.884271822228978,40
"A195",1189.44583333333,8819.14583333333,0.419152370367858,"image","Chitin",0.759995023201463,30
"A196",787.204166666667,7860.775,0.399235444294177,"image","Polyamide (naturally occurring)",0.90807277105187,35
"A197",3788.95833333333,4587.91666666667,0.419152370367858,"image","Polyamide (naturally occurring)",0.926626991285697,30
"A198",6104.25833333333,4237.72916666667,0.419152370367858,"image","Polyamide (naturally occurring)",0.947245249153435,30
"A199",9225.34166666667,7377.5,0.399235444294177,"image","Polyamide (naturally occurring)",0.949374759682262,35
"A200",10456.225,7164.35416666667,0.293640031272931,"image","Polyamide (naturally occurring)",0.937432938110214,30
"A201",11653.3625,8707.18333333333,0.396084196976109,"image","Polyamide (naturally occurring)",0.940423370402516,35
"A202",2798.84583333333,10716.2791666667,0.546383005901675,"image","Polyamide (naturally occurring)",0.95017311182442,40
"A203",4960.52916666667,11594.4833333333,0.396084196976109,"image","Polyamide (naturally occurring)",0.963845759382545,35
"A204",5951.12916666667,4428.07083333333,0.484026279031828,"image","Polyethylene terephthalate",0.858466609997686,41
"A205",9273.17083333333,3880.77083333333,0.368299271398703,"image","Polyamide (naturally occurring)",0.972780674923961,37
"A206",10824.6125,5901.62083333333,0.433721620365346,"image","Polyamide (naturally occurring)",0.949650640398687,35
"A207",1670.0125,7178.6,0.500487316677608,"image","Polyamide (naturally occurring)",0.941450452795813,35
"A208",8556.05833333333,11371.6958333333,0.36544935114327,"image","Polyamide (naturally occurring)",0.911035875201105,34
"A209",9851.075,11150.9125,0.458231001227563,"image","Polyamide (naturally occurring)",0.940334600848329,36
