"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source","x_norm","y_norm","x_aligned","y_aligned"
"A39",9373.38389967638,10935.9607605178,4537.5,192,45,45,192,"Polyamide (naturally occurring)",0.878685457165586,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.0087128836938,4.28308803841678,0.308157510793789,"image",2350.005461206,4087.50840910534,4184.61951242912,-4947.48599695851
"A41",5238.92655367232,4060.27365819209,4000,135,49,49,135,"Polyethylene terephthalate",0.892249441085367,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",71.3649646461108,0.360902294401041,0.673714277373323,"image",-1784.45188479806,-2788.17869322037,-1074.30830644956,1500.85955398426
"A42",5460.72445130316,10504.1092249657,3912.5,105,47,47,105,"Cellulosic",0.910002468582759,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.580094352277,2.23809512204187,0.850718935082333,"image",-1562.65398716722,3655.65687355325,104.244052440943,-5081.51295051037
"A43",2615.21628498728,826.041666666666,3875,103,50,50,103,"Polyamide (naturally occurring)",0.93290560793875,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.2410366940064,0.487684770546574,0.841428887138665,"image",-4408.1621534831,-6022.41068474579,-4244.99895604721,4433.8941002943
"A44",10151.9166666667,1112.49666666667,3875,106,59,59,106,"Polypropylene",0.978589994635303,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",70.2410366940064,1.81081079979626,0.834789894281095,"image",3128.53822819629,-5735.95568474579,3534.28312180439,5251.94943903393
"A45",5552.26823962517,11495.7003012048,3562.5,105,47,47,105,"Polyamide (naturally occurring)",0.925932956436204,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",67.3492084446359,0.446808533806944,0.845394359512233,"image",-1471.11019884521,4647.24794979236,344.541182207756,-6085.95045041069
"A48",5688.99903100775,7104.53779069767,3325,94,46,46,94,"Polyethylene terephthalate",0.877625051256687,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",65.0655168752575,0.485294150366557,0.946335185571662,"image",-1334.37940746262,256.085439285215,-163.05873805066,-1557.90251041541
"A49",9850.92234848485,10646.5321969697,3275,80,50,50,80,"Polyethylene terephthalate",0.911702241758719,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",64.5744493511765,0.625,1.04923623345773,"image",2827.54391001447,3798.07984555724,4632.14168584253,-4579.89883830632
"A50",3954.08667369902,9082.71009142053,3187.5,128,36,36,128,"Cellulosic",0.911693399418307,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",63.7059734157114,0.282786881267485,0.846672802979898,"image",-3069.29176477136,2234.25774000807,-1652.18069598895,-3844.65668660815
"A51",11788.1451288245,12833.5094605475,3100,96,48,48,96,"Polyamide (naturally occurring)",0.917033491970952,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",62.8254931431422,0.5,0.998269119635386,"image",4764.7666903541,5985.05710913504,6943.56517137337,-6539.14333935902
