"match_id","ftir_material","raman_material","agree","match_distance"
50,"Protein","Polyamide (PA)",FALSE,10.6870505720821
51,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,10.7913038165331
52,"Protein","Polyacrylamide/acrylate",FALSE,11.0781425258045
53,"Protein","Polyacrylamide/acrylate",FALSE,11.2383787450296
54,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,11.4259111267062
55,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,11.444549009939
56,"PET","Polyethylene terephtalate (PET)",FALSE,11.529107726357
57,"Cellulose","Polyamide (PA)",FALSE,12.0986666335094
58,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.1741735062467
59,"Protein","Polyacrylamide/acrylate",FALSE,12.2977161882094
60,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.4832656717399
61,"PET","Polyethylene terephtalate (PET)",FALSE,12.4902506063129
62,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.581801486753
63,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.6607062546774
64,"Cellulose","Polyamide (PA)",FALSE,12.6667750229029
65,"Cellulose","Polyamide (PA)",FALSE,12.7143365441993
66,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.7821954418979
67,"Protein","Polyamide (PA)",FALSE,12.8553567032419
68,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.8812759084316
69,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,12.9790379285513
70,"Protein","Polyacrylamide/acrylate",FALSE,12.9852461494096
71,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,13.096363809301
72,"Protein","Polyacrylamide/acrylate",FALSE,13.1522694132777
73,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,13.3189928431129
74,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,13.4953548449805
75,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,13.6322262774759
76,"Protein","Polyacrylamide/acrylate",FALSE,13.8074927246898
77,"Cellulose","Polyamide (PA)",FALSE,13.8417080548828
78,"Protein","Polyacrylamide/acrylate",FALSE,13.871786648154
79,"Protein","Polyacrylamide/acrylate",FALSE,13.9899215506368
80,"Protein","Polyacrylamide/acrylate",FALSE,14.0280853589457
81,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,14.195242618956
82,"Protein","Polyacrylamide/acrylate",FALSE,15.19704126548
83,"Protein","Polyacrylamide/acrylate",FALSE,15.2471725663751
84,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.2489449043976
85,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.3566735648646
86,"Protein","Polyacrylamide/acrylate",FALSE,15.3974672119568
87,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.4631002131818
88,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.4924864660633
89,"PET","Polyethylene terephtalate (PET)",FALSE,15.5421994273539
90,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.6331079502962
91,"Protein","Polyacrylamide/acrylate",FALSE,15.6721187552811
92,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,15.7564316227576
93,"Protein","Polyacrylamide/acrylate",FALSE,15.8970354176537
94,"Protein","Polyacrylamide/acrylate",FALSE,15.978351273911
95,"Cellulose","Polyamide (PA)",FALSE,16.0474225261615
96,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.0845712339204
97,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.0928184298782
98,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.1197531629727
99,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.2329836932383
100,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.4299593711473
101,"Protein","Polyacrylamide/acrylate",FALSE,16.6394814028631
102,"Protein","Polyacrylamide/acrylate",FALSE,16.8073972386678
103,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.8221050286845
104,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,16.868764731556
105,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,17.0482832831914
106,"PET","Polyethylene terephtalate (PET)",FALSE,17.1839284419541
107,"Protein","Polyacrylamide/acrylate",FALSE,17.4629389084729
108,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,17.520734370432
109,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,17.6481870639044
110,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,17.7596890459456
111,"Protein","Polyacrylamide/acrylate",FALSE,17.7718112383692
112,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.0251139486708
113,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.4070790820442
114,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.415016826116
115,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.5731950788337
116,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.6096579936566
117,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.6211702012053
118,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,18.844233699685
119,"Cellulose","Polyamide (PA)",FALSE,19.0231485550288
120,"Protein","Polyacrylamide/acrylate",FALSE,19.3280419521061
121,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,19.337744990851
122,"Protein","Polyacrylamide/acrylate",FALSE,19.5234407778734
123,"Protein","Polyacrylamide/acrylate",FALSE,19.5313303008217
124,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,19.6602762763111
125,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,19.9310111441297
126,"Protein","Polyacrylamide/acrylate",FALSE,20.0080571140523
127,"Protein","Polyacrylamide/acrylate",FALSE,20.0384768842045
128,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,20.3004730394407
129,"Protein","Polyacrylamide/acrylate",FALSE,20.5996296260783
130,"Protein","Polyacrylamide/acrylate",FALSE,20.7368252881759
131,"Cellulose","Polyamide (PA)",FALSE,22.0203963265806
132,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,22.2833158406867
133,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,22.380582017561
134,"PET","Polyethylene terephtalate (PET)",FALSE,22.5770085447293
135,"Protein","Polyamide (PA)",FALSE,22.7819050168745
136,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,22.8044615484629
137,"Protein","Polyacrylamide/acrylate",FALSE,23.0961106175221
138,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,23.2913277500803
139,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,23.2958698752406
140,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,23.315209354939
141,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,23.4114342656766
142,"Cellulose","Polyamide (PA)",FALSE,23.7029559087469
143,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,23.7106808873388
144,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,24.2891540182886
145,"Protein","Polyamide (PA)",FALSE,24.3821144221826
146,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,24.65757825254
147,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,24.8014560282618
148,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,25.1608606075937
149,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,25.3767937502048
150,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,26.2631683762572
151,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,26.9367287993043
152,"Cellulose","Polyamide (PA)",FALSE,27.8177983162901
153,"Protein","Polyacrylamide/acrylate",FALSE,28.0314188396379
154,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,28.374070971859
155,"Protein","Polyacrylamide/acrylate",FALSE,29.5494280739107
156,"Protein","Polyacrylamide/acrylate",FALSE,29.812225895022
157,"PET","Polyethylene terephtalate (PET)",FALSE,29.8758225429477
158,"Protein","Polyacrylamide/acrylate",FALSE,29.917274218137
159,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,31.0593656456316
160,"Protein","Polyacrylamide/acrylate",FALSE,31.3157103922
161,"PET","Polyethylene terephtalate (PET)",FALSE,31.8604752010911
162,"PET","Polyethylene terephtalate (PET)",FALSE,32.2461439484141
163,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,32.4031363858179
164,"PET","Polyethylene terephtalate (PET)",FALSE,32.4969990685947
165,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,32.7031186322077
166,"Protein","Polyacrylamide/acrylate",FALSE,33.6256548004091
167,"Protein","Polyacrylamide/acrylate",FALSE,35.0487123148664
168,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,35.1165291790109
169,"Cellulose","Polyamide (PA)",FALSE,37.1010317789598
170,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,43.2197919567779
171,"Protein","Polyacrylamide/acrylate",FALSE,45.5967916546918
172,"Cellulose","Polyamide (PA)",FALSE,53.8097665042603
173,"Protein","Polyethylene terephtalate (PET)",FALSE,58.6064778971176
174,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,61.7876263546729
175,"PET","Polyethylene terephtalate (PET)",FALSE,62.1745095998662
176,"Protein","Polyamide (PA)",FALSE,65.1140321305011
177,"Cellulose","Polyamide (PA)",FALSE,71.0504236319805
178,"PET","Polyethylene terephtalate (PET)",FALSE,73.9404361394093
179,"Cellulose","Polyethylene terephtalate (PET)",FALSE,74.9746051415326
180,"Cellulose","Polyethylene terephtalate (PET)",FALSE,83.254919199515
181,"Protein","Polyethylene terephtalate (PET)",FALSE,83.5061839897657
182,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,85.7243391320754
183,"Protein","Polyamide (PA)",FALSE,92.0465405193743
184,"Protein","Cellulose Acetate Butyrate (CAB)",FALSE,94.8991430809726
