"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
29,3087.80759187385,1081.47919884243,243,3077.32842219485,1064.49091064149,-10.4791696789998,-16.9882882009401,19.9603339941863
30,-1021.68440493544,-92.3207726870736,304,-1024.38446174136,-89.9589997288035,-2.70005680592237,2.36177295827008,3.58723824991086
31,5390.12080254394,1168.22844713634,109,5397.70959460493,1174.71188666889,7.58879206098391,6.48343953255062,9.98122002147496
32,5868.93352088757,352.947656570694,76,5863.85247238743,365.850661551166,-5.08104850014024,12.9030049804727,13.8673930998901
33,-741.942860695366,2942.16823915543,512,-735.628467252923,2906.09971843259,6.31439344244347,-36.0685207228407,36.6170691301197
34,-5184.11880836789,-2309.22764202476,33,-4750.65714608426,-2224.91634267615,433.46166228363,84.3112993486129,441.585108294584
35,-954.704999184984,1643.86550679935,80,-950.903811056432,1639.70662928447,3.80118812855119,-4.15887751488208,5.63429617365206
36,-3643.09459170733,-5078.14670725932,22,-3650.16958856071,-5084.34697597023,-7.07499685337825,-6.20026871091886,9.40738606430669
37,4906.10203038975,414.629143859042,698,4882.77097222693,558.163302015636,-23.331058162822,143.534158156594,145.417993497088
38,3705.10303523516,867.873632740279,248,3732.91360252447,850.363702004936,27.8105672893107,-17.5099307353424,32.8637387907975
39,4361.16136042021,-3520.50723982785,533,4320.75880800392,-3598.0860023508,-40.4025524162935,-77.578762522955,87.4690267257181
40,-1810.94176956246,-5080.13897307668,273,-1825.20874069042,-5085.49511113719,-14.2669711279636,-5.35613806051879,15.2392480158795
41,-560.745444534146,1355.59192069162,6,-546.760232289313,1356.11724304732,13.9852122448332,0.525322355695607,13.9950750305393
42,-669.231253737945,4202.69289127978,87,-653.536802815853,4182.82602408328,15.694450922092,-19.866867196507,25.3181397805921
43,-462.635643947602,-3160.28018395253,137,-468.687040936573,-3165.23904440988,-6.05139698897085,-4.95886045734869,7.82366298824163
44,412.391149645328,-1858.05562528157,217,405.617888697418,-1837.42072382983,-6.77326094791033,20.6349014517457,21.7181081540668
45,-3812.49713947207,-833.156775043838,36,-3835.01935043999,-829.932114829404,-22.5222109679235,3.22466021443415,22.7518882816835
46,56.7760405605461,-3725.45561209358,231,4.91871543114758,-3689.36274812349,-51.8573251293985,36.0928639700915,63.181302607177
47,1579.39455303825,-5827.67386849658,190,1574.41948865461,-5851.30126749421,-4.97506438364053,-23.6273989976326,24.1455016310429
48,-4487.37751763531,-253.293427285631,119,-4486.01199010181,-249.549787935134,1.36552753349952,3.74363935049689,3.98490916224373
49,2265.3210932494,-3890.18472599127,77,2252.96737232327,-3890.2864023401,-12.3537209261322,-0.101676348834644,12.3541393387264
