"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio"
"A74",NA,NA,1975,79,34,34,79,"Polyethylene terephthalate",0.89249911252012,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",50.1462670679677,0.435643561363349
"A75",NA,NA,1975,65,45,45,65,"Polyamide (naturally occurring)",0.926064872381839,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",50.1462670679677,1.44444444444444
"A76",NA,NA,1962.5,165,28,28,165,"Cellulosic",0.828862653882412,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",49.9873244587341,5.98795227053529
"A77",NA,NA,1937.5,60,40,40,60,"Polyamide (naturally occurring)",0.971180570520754,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",49.667913363905,0.666666666666667
"A78",NA,NA,1862.5,60,45,45,60,"Polyamide (naturally occurring)",0.91894503916936,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.6971113318772,1.33333333333333
"A79",NA,NA,1837.5,56,42,42,56,"Polyamide (naturally occurring)",0.914585244700799,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.369180925987,1.31578952684855
"A80",NA,NA,1825,106,31,31,106,"Cellulosic",0.900970428432625,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.2043791490117,3.35483855329695
"A81",NA,NA,1812.5,60,42,42,60,"Polyamide (naturally occurring)",0.927072222024821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.0390120093293,1.4166666853986
"A82",NA,NA,1775,50,45,45,50,"Polyamide (naturally occurring)",0.804518698923528,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",47.5394593143939,1.11111111111111
"A83",NA,NA,1750,50,40,40,50,"Polyethylene terephthalate",0.941419101723752,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",47.2034871941315,0.8
"A84",NA,NA,1712.5,63,38,38,63,"Chitin",0.884059143024926,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",46.6949967379693,1.6470589858636
"A85",NA,NA,1700,60,39,39,60,"Polycarbonate",0.887871498426707,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",46.5242649168128,1.54545453430827
"A86",NA,NA,1637.5,53,42,42,53,"Carbonate",0.860705010415341,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.6610310276042,1.2500000561958
"A87",NA,NA,1625,55,40,40,55,"Polyamide (naturally occurring)",0.925915615362264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.4864184146723,1.40000012063134
"A88",NA,NA,1612.5,63,35,35,63,"Polyamide (naturally occurring)",0.956803703803018,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.3111329132858,0.549999988690813
"A89",NA,NA,1487.5,60,35,35,60,"Polyamide (naturally occurring)",0.931131812857365,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.5194648725551,0.583333333333333
"A90",NA,NA,1475,65,31,31,65,"Polyamide (naturally occurring)",0.940899868441385,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.471428559899464
"A91",NA,NA,1475,68,36,36,68,"Polycarbonate",0.869741025025116,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.523364520461789
"A92",NA,NA,1475,50,45,45,50,"Polyamide (naturally occurring)",0.939254523355852,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.9
"A93",NA,NA,1475,63,36,36,63,"Polyamide (naturally occurring)",0.934617438466672,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,1.76923072301354
"A94",NA,NA,1462.5,49,42,42,49,"Rubber",0.769118095199971,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.1522054381369,0.857142884667332
"A95",NA,NA,1462.5,45,40,40,45,"Cellulosic",0.936736016673243,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.1522054381369,0.888888888888889
"A96",NA,NA,1425,60,32,32,60,"Cellulosic",0.949829707431432,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,1.88888877233464
"A97",NA,NA,1425,57,35,35,57,"Rubber",0.731294542350706,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,1.5999998381561
"A98",NA,NA,1425,53,35,35,53,"Polyamide (naturally occurring)",0.970435445372751,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,0.666666666666667
"A99",NA,NA,1412.5,55,34,34,55,"Polyamide (naturally occurring)",0.94536476687416,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.408146115321,0.618181835521351
"A100",NA,NA,1412.5,49,43,43,49,"Polyamide (naturally occurring)",0.88344206265084,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.408146115321,1.12903230457938
"A101",NA,NA,1400,45,40,40,45,"Polyamide (naturally occurring)",0.92007180937491,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.2200824564475,0.888888888888889
"A102",NA,NA,1387.5,45,40,40,45,"Polyamide (naturally occurring)",0.896877786873762,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.0311773368298,1.125
"A103",NA,NA,1375,65,41,41,65,"Polyamide (naturally occurring)",0.805443938699752,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",41.84141935942,0.627906964891254
"A104",NA,NA,1350,60,30,30,60,"Polyamide (naturally occurring)",0.878473654949501,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",41.4592979365603,2
"A105",NA,NA,1312.5,49,36,36,49,"Polyamide (naturally occurring)",0.957740705779612,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.8794190573313,0.727272652371551
"A106",NA,NA,1312.5,40,40,40,40,"Polyamide (naturally occurring)",0.914073981047385,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.8794190573313,1
"A107",NA,NA,1300,60,33,33,60,"Polyamide (naturally occurring)",0.94860957659758,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.6842894512822,1.82258054568935
"A108",NA,NA,1300,103,23,23,103,"Cellulosic",0.872267480562829,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.6842894512822,4.51923051991095
"A109",NA,NA,1287.5,46,35,35,46,"Polyamide (naturally occurring)",0.91345423626879,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.4882194452476,0.769230817113582
"A110",NA,NA,1275,40,40,40,40,"Polyamide (naturally occurring)",0.911695689243465,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.291195310357,1
"A111",NA,NA,1262.5,42,39,39,42,"Carbonate",0.874503002090825,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.0932029804073,0.9166666853986
"A112",NA,NA,1250,62,28,28,62,"Cellulosic",0.916479030282102,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.8942280401433,2.25000012894456
"A113",NA,NA,1250,58,29,29,58,"Polyamide (naturally occurring)",0.914672228900686,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.8942280401433,0.499999958990759
"A114",NA,NA,1237.5,74,27,27,74,"Cellulosic",0.885332988884678,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.6942557130092,2.77419330535399
"A115",NA,NA,1225,49,34,34,49,"Polyamide (naturally occurring)",0.932774540992415,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.4932708483429,1.46666673301051
"A116",NA,NA,1212.5,40,35,35,40,"Polyamide (naturally occurring)",0.899545375294274,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.2912579079798,0.875
"A117",NA,NA,1212.5,67,27,27,67,"Polycarbonate",0.714527233622709,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.2912579079798,0.395348846291433
"A118",NA,NA,1187.5,50,30,30,50,"Polyamide (naturally occurring)",0.899157106870072,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.8840836252188,1.66666666666667
"A119",NA,NA,1175,60,35,35,60,"Polyethylene terephthalate",0.87396817573455,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.6788891394752,0.588235312784764
"A120",NA,NA,1175,69,25,25,69,"Cellulosic",0.955462782980767,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.6788891394752,0.35483870191084
"A121",NA,NA,1175,50,30,30,50,"Polyamide (naturally occurring)",0.917022459004057,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.6788891394752,0.6
"A122",NA,NA,1150,57,28,28,57,"Polyamide (naturally occurring)",0.970035437145177,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.2651992866291,0.5
"A123",NA,NA,1150,42,35,35,42,"Polyamide (naturally occurring)",0.967228630447921,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.2651992866291,1.19999994605203
"A124",NA,NA,1150,49,31,31,49,"Polyamide (naturally occurring)",0.927433535301946,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.2651992866291,0.636363601116024
"A125",NA,NA,1150,40,35,35,40,"Polyamide (naturally occurring)",0.948391180267762,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.2651992866291,1.14285714285714
"A126",NA,NA,1137.5,65,24,24,65,"Polyamide (naturally occurring)",0.951513394065782,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.0566680377598,2.71428570009993
"A127",NA,NA,1137.5,40,35,35,40,"Polyamide (naturally occurring)",0.932803804108519,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.0566680377598,0.875
"A128",NA,NA,1137.5,49,32,32,49,"Polyamide (naturally occurring)",0.909828476003282,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",38.0566680377598,0.645161326411559
"A129",NA,NA,1125,40,35,35,40,"Polyamide (naturally occurring)",0.925494398314711,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.8469878303024,0.875
