"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"753",904.938950379252,2560.01947907748,895.727,42.266,28.545,28.545,42.116,"Cellulose Acetate Butyrate (CAB)",92.64,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"507",1736.76287883601,-601.944770708476,1277.02,45.828,36.619,36.166,46.499,"Polyamide (PA)",92.56,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"26",1720.68898649869,1492.82784139555,49919.954,411.058,170.931,170.931,411.529,"Polyethylene terephtalate (PET)",92.53,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"3",10287.4995347114,2507.77932898116,1121.471,38.829,37.803,36.376,41.753,"Polyethylene terephtalate (PET)",92.5,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"491",7537.14174227779,-4053.81315014983,1372.426,60.222,34.341,34.341,60.889,"Cellulose Acetate Butyrate (CAB)",92.49,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"27",6178.32377219003,831.501985231164,428.255,28.91,23.105,22.963,32.068,"Cellulose Acetate Butyrate (CAB)",92.43,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"684",4232.2346642063,3648.45161734803,738.035,35.172,26.443,26.443,34.91,"Cellulose Acetate Butyrate (CAB)",92.4,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"315",7773.65758666991,1294.20045751284,2415.793,65.173,55.075,54.427,67.895,"Cellulose Acetate Butyrate (CAB)",92.39,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"484",8188.70844952308,3887.83779965753,1086.703,42.248,37.705,36.74,44.839,"Cellulose Acetate Butyrate (CAB)",92.37,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"165",10777.1791834165,2330.96651327055,756.161,33.296,30.426,29.722,36.199,"Cellulose Acetate Butyrate (CAB)",92.36,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"41",10313.9066435513,2475.05747672303,339.935,27.615,16.797,16.496,28.182,"Cellulose Acetate Butyrate (CAB)",92.32,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"422",4853.37578952736,428.506541630994,609.674,31.067,25.938,25.868,32.148,"Cellulose Acetate Butyrate (CAB)",92.3,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"501",1504.26550752822,-2654.81044921875,1801.34,69.766,34.455,34.455,68.65,"Cellulose Acetate Butyrate (CAB)",92.29,"Comparstic Raman F2Ba Au IAEA 240930.csv"
