"match_id","material_a_raw","material_b_raw","material_a_norm","material_b_norm","family_a","family_b","category_a","category_b","tier","agree_exact","match_distance","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm"
292,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,73.0407047555563,"PET","Polyethylene terephtalate (PET)","PET","PET"
293,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,17.1721006540633,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
294,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.9833333316816,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
296,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,11.9698108125244,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
297,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,5.11163507638037,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
298,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,13.7073723720537,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
299,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,33.1336723538763,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
302,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,7.75943139498581,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
303,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,13.0775584766811,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
304,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,12.4123294056771,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
310,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.3934168952228,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
312,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,59.5524752759423,"PET","Polyethylene terephtalate (PET)","PET","PET"
313,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,8.80532686467468,"PET","Polyethylene terephtalate (PET)","PET","PET"
314,"Cellulose","Cellulose Acetate Butyrate (CAB)","CELLULOSE","CAB","Cellulose","Cellulose","Semi-synthetic","Semi-synthetic","Family",FALSE,49.1633762647195,"Cellulose","Cellulose Acetate Butyrate (CAB)","CELLULOSE","CAB"
316,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,30.0276367112834,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
318,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,23.0111900300511,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
319,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,23.9928281997396,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
321,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,28.5205724512844,"PET","Polyethylene terephtalate (PET)","PET","PET"
