"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"55",9341.43615714294,-60.0249719071062,802.793,41.299,30.251,25.962,47.648,"Polyethylene terephtalate (PET)",91.85,"Comparstic Raman F2Ba Au IAEA 240930.csv",3281.20526271872,-1898.34103672811
"485",3200.63521669988,-4020.51723030822,357.73,33.001,15.816,15.816,32.148,"Polyacrylamide/acrylate",91.6,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2859.59567772434,-5858.83329512923
"471",1123.08463210014,-1614.02592037671,605.719,33.296,24.111,23.391,34.673,"Polyethylene terephtalate (PET)",91.59,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4937.14626232408,-3452.34198519772
"730",9813.89377834371,1706.38098244863,2039.937,66.21,47.665,47.665,66.572,"Polyethylene terephtalate (PET)",91.53,"Comparstic Raman F2Ba Au IAEA 240930.csv",3753.66288391949,-131.935082372378
"98",7248.38574778934,-1170.84574593322,783.843,36.166,33.87,29.436,42.137,"Cellulose Acetate Butyrate (CAB)",91.51,"Comparstic Raman F2Ba Au IAEA 240930.csv",1188.15485336512,-3009.16181075423
"237",4659.91501389594,5095.10192770762,324.281,22.819,19.472,18.916,23.521,"Polyethylene terephtalate (PET)",91.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1400.31588052828,3256.78586288661
"606",10255.3517500368,4611.16295483733,558.099,34.349,24.082,24.082,34.098,"Cellulose Acetate Butyrate (CAB)",91.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",4195.12085561258,2772.84689001632
"468",1893.48332912497,3910.80050299658,1345.732,41.59,41.334,41.334,42.874,"Polyamide (PA)",91.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4166.74756529925,2072.48443817557
"669",2146.6471334379,993.389043771404,670.312,35.722,25.573,25.573,35.722,"Cellulose Acetate Butyrate (CAB)",91.08,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3913.58376098632,-844.927021049604
"508",1307.93439397942,1954.37817851027,635.874,37.134,23.522,23.522,36.778,"Polyacrylamide/acrylate",91.05,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4752.2965004448,116.062113689262
"758",4740.85854316606,5552.63379173801,454.125,32.966,19.764,19.764,32.722,"Polyacrylamide/acrylate",91.04,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1319.37235125816,3714.317726917
"367",7696.73253048412,6228.3113374893,1460.911,49.795,39.778,39.778,53.988,"Polyacrylamide/acrylate",91.04,"Comparstic Raman F2Ba Au IAEA 240930.csv",1636.5016360599,4389.99527266829
"637",8384.4654954884,5743.79829703553,691.898,35.764,27.184,25.833,38.463,"Cellulose Acetate Butyrate (CAB)",90.96,"Comparstic Raman F2Ba Au IAEA 240930.csv",2324.23460106418,3905.48223221452
"552",9584.2667449533,4653.06988843108,3575.492,77.04,61.54,61.54,77.221,"Polyethylene terephtalate (PET)",90.88,"Comparstic Raman F2Ba Au IAEA 240930.csv",3524.03585052908,2814.75382361007
"284",8049.78409432188,4095.07619729238,603.083,29.84,27.856,25.67,33.87,"Polyamide (PA)",90.86,"Comparstic Raman F2Ba Au IAEA 240930.csv",1989.55319989766,2256.76013247137
"192",2168.46170160999,5172.60105147688,1356.278,45.262,38.657,38.001,47.575,"Polyethylene terephtalate (PET)",90.75,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3891.76919281423,3334.28498665587
"779",10541.2374066078,-986.570051637415,685.636,32.722,28.129,27.707,35.707,"Polyacrylamide/acrylate",90.69,"Comparstic Raman F2Ba Au IAEA 240930.csv",4481.00651218358,-2824.88611645842
"74",2283.27521830519,-1146.16083984375,1297.452,50.212,32.537,32.512,50.212,"Polyethylene terephtalate (PET)",90.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3776.95567611903,-2984.47690466476
"775",3984.23746814466,3526.74928965111,688.932,35.21,25.263,25.263,37.483,"Cellulose Acetate Butyrate (CAB)",90.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2075.99342627956,1688.4332248301
"618",11586.6144761177,1813.15755297517,1671.661,59.703,39.611,39.586,60.23,"Cellulose Acetate Butyrate (CAB)",90.59,"Comparstic Raman F2Ba Au IAEA 240930.csv",5526.38358169348,-25.1585118458383
"14",6015.86264606632,833.798255565069,527.945,35.429,20.538,20.538,35.429,"Cellulose Acetate Butyrate (CAB)",90.32,"Comparstic Raman F2Ba Au IAEA 240930.csv",-44.3682483578978,-1004.51780925594
"176",7310.95911438823,1452.64311055223,944.006,35.399,35.274,34.17,37.098,"Polyacrylamide/acrylate",90.31,"Comparstic Raman F2Ba Au IAEA 240930.csv",1250.72821996401,-385.672954268778
"25",1806.22505643661,-3173.76754468108,861.618,35.971,33.627,31.256,44.158,"Cellulose Acetate Butyrate (CAB)",90.02,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4254.00583798761,-5012.08360950209
"516",5235.13073253892,3848.80120398116,382.282,25.052,22.874,21.189,28.497,"Cellulose Acetate Butyrate (CAB)",89.79,"Comparstic Raman F2Ba Au IAEA 240930.csv",-825.100161885298,2010.48513916015
"764",869.920827787215,-983.699713720034,714.967,46.503,22.249,22.249,46.212,"Cellulose Acetate Butyrate (CAB)",89.73,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5190.310066637,-2822.01577854104
"251",976.697398313756,1377.44025711687,610.168,28.703,27.555,26.385,31.256,"Polyethylene terephtalate (PET)",89.5,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5083.53349611046,-460.875807704138
"219",4150.14299976923,-248.319139287243,638.016,32.479,25.62,25.62,33.416,"Cellulose Acetate Butyrate (CAB)",89.24,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1910.08789465499,-2086.63520410825
"640",9298.38108838224,1727.04741545377,5064.415,178.12,46.122,46.122,178.171,"Polyamide (PA)",89.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",3238.15019395802,-111.268649367238
