"particle_id","x_um","y_um","coord_match_cost","coord_source","material","quality","feret_max_um"
"A217",-2913.43,2580.006,0.0977019848788294,"circle_calibrated","Polyethylene terephthalate",0.90668700525846,53
"A218",-2105.896,-2834.546,0.649888531902845,"circle_calibrated","Carbonate",0.739916183928179,30
"A219",941.096,-5456.932,0.026013580183287,"circle_calibrated","Polycarbonate",0.864297192693158,35
"A220",3906.734,2530.476,0.68625617607372,"circle_calibrated","Polyamide (naturally occurring)",0.940643229375813,30
"A221",-44.5119999999997,3180.892,0.632188954803444,"circle_calibrated","Polyamide (naturally occurring)",0.866809520082321,30
"A222",-3945.032,-2720.432,0.649888531902845,"circle_calibrated","Polyamide (naturally occurring)",0.937795511675505,30
"A223",-3772.314,74.3340000000004,0.856554152976257,"circle_calibrated","Polyamide (naturally occurring)",0.959281921288804,28
"A224",1098.89,-851.136,0.475649443535568,"circle_calibrated","Rubber",0.805345164262843,42
"A225",-2917.434,-2017.86,0.109863157989237,"circle_calibrated","Polyamide (naturally occurring)",0.922057074096031,35
"A226",993.044,2028.988,0.744525084197695,"circle_calibrated","Cellulosic",0.857929704870774,30
"A227",-949.91,-4701.554,0.0806527202566842,"circle_calibrated","Polyethylene terephthalate",0.879502786203839,35
"A228",1070.368,839.280000000001,0.0915817907888741,"circle_calibrated","Polyamide (naturally occurring)",0.91486452605047,35
"A229",827.762,1561.456,0.579010645720122,"circle_calibrated","Rubber",0.70451537726586,30
"A230",862.576000000001,-536.354,0.579010645720122,"circle_calibrated","Chitin",0.828103633690543,30
"A231",804.336,-882.986,0.579010645720122,"circle_calibrated","Polyamide (naturally occurring)",0.967814555602615,30
"A232",-1289.262,-178.828000000001,0.830837404884826,"circle_calibrated","Polyamide (naturally occurring)",0.915708199824675,30
"A233",3225.56,3213.054,0.0706352598529756,"circle_calibrated","Polyamide (naturally occurring)",0.901091221197316,38
"A234",-3817.84,-2062.736,1.63954044592647,"circle_calibrated","Polyamide (naturally occurring)",0.944869669401983,28
"A235",1935.44,-4618.562,0.0467217166474425,"circle_calibrated","Polyamide (naturally occurring)",0.949812015469865,39
"A236",-912.47,-1786.798,0.0313755233246722,"circle_calibrated","Polyamide (naturally occurring)",0.915357706517027,35
"A237",-965.822,-4998.136,0.811419319027725,"circle_calibrated","Polyamide (naturally occurring)",0.969545731973827,30
"A238",-1787.942,1224.756,0.686256176073719,"circle_calibrated","Polyamide (naturally occurring)",0.909261335902999,30
"A239",1129.622,-3458.702,0.686256176073719,"circle_calibrated","Cellulosic",0.944614896333655,30
"A240",-5305.066,-599.923999999999,0.78944041230895,"circle_calibrated","Polyamide (naturally occurring)",0.948715287677415,30
"A241",-2536.976,-4286.204,0.78944041230895,"circle_calibrated","Polyamide (naturally occurring)",0.921882136678206,30
"A242",-563.758,1343.524,0.0158955086998496,"circle_calibrated","Polyamide (naturally occurring)",0.948076441487583,32
"A243",-1699.516,-1328.236,0.0592392456721436,"circle_calibrated","Polyamide (naturally occurring)",0.914187638323926,39
"A244",936.676000000001,2284.62,0.0812181523909181,"circle_calibrated","Polyamide (naturally occurring)",0.92180761624123,39
"A245",4506.034,1997.866,0.0175990866246332,"circle_calibrated","Polyamide (naturally occurring)",0.947139047880254,32
"A246",437.944,-1743.742,0.404899662398717,"circle_calibrated","Polyamide (naturally occurring)",0.950522771750033,28
"A247",501.566,-2080.078,0.0397645850828523,"circle_calibrated","Polyamide (naturally occurring)",0.95757956575154,30
"A248",-5382.442,1365.65,0.503934619279764,"circle_calibrated","Polyamide (naturally occurring)",0.97276566394641,30
"A249",-4097.262,68.8739999999994,0.0223838121327082,"circle_calibrated","Polyamide (naturally occurring)",0.903985177441214,35
"A250",-410.176000000001,3516.058,0.0614155250947384,"circle_calibrated","Cellulosic",0.883321038884495,39
"A251",3654.976,3819.192,0.520741737596146,"circle_calibrated","Polyamide (naturally occurring)",0.945224783067511,30
"A252",5880.29,-1460.602,0.100078578977159,"circle_calibrated","Polyamide (naturally occurring)",0.959672078576031,40
"A253",2630.316,4172.584,0.666053468756199,"circle_calibrated","Polyamide (naturally occurring)",0.957048639492698,30
"A254",1973.92,-3227.77,0.0353333121320887,"circle_calibrated","Polyamide (naturally occurring)",0.948804958581335,35
"A255",300.716,503.1,0.0306117139519175,"circle_calibrated","Polyamide (naturally occurring)",0.918731642282479,30
"A256",1878.11,1487.746,0.450942089139254,"circle_calibrated","Polyamide (naturally occurring)",0.953831033312895,30
"A257",-2261.272,-3340.766,0.816876358490783,"circle_calibrated","Polyethylene terephthalate",0.724431794959143,30
"A258",-31.1219999999995,-4248.842,0.021228854675212,"circle_calibrated","Polyamide (naturally occurring)",0.928027954200423,32
"A259",2282.15,1303.562,0.0374422760069102,"circle_calibrated","Polyamide (naturally occurring)",0.924933895428387,35
"A260",-2281.292,4019.132,0.466750829244898,"circle_calibrated","Sand",0.770421172824445,30
"A261",1387.126,2427.23,0.0438939784248644,"circle_calibrated","Polyamide (naturally occurring)",0.967622113903948,30
"A262",-5990.348,25.7139999999997,0.026013580183287,"circle_calibrated","Polyamide (naturally occurring)",0.951555409422418,35
"A263",-2673.502,4016.298,0.502468911846977,"circle_calibrated","Polyamide (naturally occurring)",0.949210424715306,30
"A264",-616.226000000001,-966.966,0.0671508405891315,"circle_calibrated","Polyamide (naturally occurring)",0.972102100468779,30
"A265",-4390.88,-2325.596,0.0909614892828499,"circle_calibrated","Polyamide (naturally occurring)",0.935189290172542,30
"A266",4092.114,-2923.076,0.398928232906137,"circle_calibrated","Polyamide (naturally occurring)",0.958380848164594,30
"A267",-452.478000000001,-5857.722,0.398928232906137,"circle_calibrated","Polyamide (naturally occurring)",0.9649490125108,30
"A268",3676.946,703.014,0.398928232906137,"circle_calibrated","Polyamide (naturally occurring)",0.97133510260454,30
"A269",965.588,1941.836,0.449359086533028,"circle_calibrated","Polyamide (naturally occurring)",0.957101745689369,30
"A270",-379.521999999999,1176.968,0.0400990186666352,"circle_calibrated","Polyamide (naturally occurring)",0.937971985734079,36
"A271",-2978.456,-3846.856,0.231858898152038,"circle_calibrated","Cellulosic",0.957588050747499,35
"A272",568.23,-1307.072,0.0679710430469218,"circle_calibrated","Polyamide (naturally occurring)",0.969211173944635,35
"A273",253.448,4835.844,0.172352675252725,"circle_calibrated","Polyamide (naturally occurring)",0.93235243343228,48
"A274",4349.956,59.9559999999999,0.409269392738687,"circle_calibrated","Polyamide (naturally occurring)",0.863885628334836,30
"A275",-3667.352,3628.742,0.08205648153027,"circle_calibrated","Polyamide (naturally occurring)",0.917005215195633,36
"A276",-3430.83,2114.892,1.10241657329863,"circle_calibrated","Polyamide (naturally occurring)",0.93402509159184,30
"A277",-1412.112,-2817.802,0.312252600013876,"circle_calibrated","Polyamide (naturally occurring)",0.967805796044635,28
"A278",-2986.23,1216.176,0.129684530519525,"circle_calibrated","Polyamide (naturally occurring)",0.929661223515047,36
"A279",-2710.708,-1913.496,0.141954623111339,"circle_calibrated","Polyethylene terephthalate",0.933458855729851,36
"A280",2725.918,874.77,0.192598355930094,"circle_calibrated","Polyamide (naturally occurring)",0.951151784209478,36
"A281",-3653.962,3901.69,0.153664214401425,"circle_calibrated","Polyamide (naturally occurring)",0.970070997757321,46
"A282",-3250.676,214.63,0.029973981399384,"circle_calibrated","Cellulosic",0.913497830375121,35
"A283",-2030.184,3594.006,1.00150657986093,"circle_calibrated","Polyamide (naturally occurring)",0.96630679112058,30
