"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2","centroid_px_x","centroid_px_y","coord_source"
19,418.62,2554.72,0,2,418.62,54.72,29,135.69,105.22,3051.38,6,6,6.08,1,142.271999999999,5411.588,15.6,15.6,196.04,2554.72,418.62,"circle_calibrated"
20,419.75,2972.72,0,2,419.75,472.72,32,129.75,105.53,3376.92,7,6,6.38,1.17,1229.072,5408.65,18.2,15.6,216.32,2972.72,419.75,"circle_calibrated"
21,428.3,2061.01,0,1,428.3,811.01,171,131.5,100.36,17161.16,17,14,14.76,1.21,-1141.374,5386.42,44.2,36.4,1155.96,2061.01,428.3,"circle_calibrated"
22,443.5,2572.91,0,2,443.5,72.91,54,155.21,118.21,6383.07,10,8,8.29,1.25,189.566,5346.9,26,20.8,365.04,2572.91,443.5,"circle_calibrated"
23,447.32,2030.26,0,1,447.32,780.26,34,87.9,78.49,2668.52,10,6,6.58,1.67,-1221.324,5336.968,26,15.6,229.84,2030.26,447.32,"circle_calibrated"
24,526.69,2002.5,0,1,526.69,752.5,1050,169.04,117.51,123380.45,124,88,36.56,1.41,-1293.5,5130.606,322.4,228.8,7098,2002.5,526.69,"circle_calibrated"
25,494.33,1854.5,0,1,494.33,604.5,12,83.86,81.68,980.13,4,4,3.91,1,-1678.3,5214.742,10.4,10.4,81.12,1854.5,494.33,"circle_calibrated"
26,511,1504.5,0,1,511,254.5,10,96.4,85.65,856.54,2,5,3.57,2.5,-2588.3,5171.4,13,5.2,67.6,1504.5,511,"circle_calibrated"
27,521.78,2596.09,0,2,521.78,96.09,78,111.62,90.62,7068.13,11,9,9.97,1.22,249.834,5143.372,28.6,23.4,527.28,2596.09,521.78,"circle_calibrated"
28,531.53,3598.26,0,2,531.53,1098.26,19,117.63,99.18,1884.33,4,6,4.92,1.5,2855.476,5118.022,15.6,10.4,128.44,3598.26,531.53,"circle_calibrated"
29,540.92,1907.89,0,1,540.92,657.89,63,96.29,86.19,5430.21,10,8,8.96,1.25,-1539.486,5093.608,26,20.8,425.88,1907.89,540.92,"circle_calibrated"
30,558.42,1420.7,0,1,558.42,170.7,727,196.22,152.62,110953.07,38,29,30.42,1.31,-2806.18,5048.108,98.8,75.4,4914.52,1420.7,558.42,"circle_calibrated"
31,556.11,1568.06,0,1,556.11,318.06,47,97.87,87.43,4109.01,10,7,7.74,1.43,-2423.044,5054.114,26,18.2,317.72,1568.06,556.11,"circle_calibrated"
32,558.3,2375.23,0,1,558.3,1125.23,30,99.71,90.61,2718.31,6,6,6.18,1,-324.402,5048.42,15.6,15.6,202.8,2375.23,558.3,"circle_calibrated"
33,601.5,1627,0,1,601.5,377,18,91.84,80.42,1447.53,3,6,4.79,2,-2269.8,4936.1,15.6,7.8,121.68,1627,601.5,"circle_calibrated"
34,605.43,3850.05,0,3,605.43,100.05,74,172.84,128.9,9538.47,9,12,9.71,1.33,3510.13,4925.882,31.2,23.4,500.24,3850.05,605.43,"circle_calibrated"
35,605.5,1368.79,0,1,605.5,118.79,34,134.03,97.13,3302.54,5,10,6.58,2,-2941.146,4925.7,26,13,229.84,1368.79,605.5,"circle_calibrated"
36,611.09,1264.96,0,1,611.09,14.96,54,125.49,95.44,5153.51,8,11,8.29,1.38,-3211.104,4911.166,28.6,20.8,365.04,1264.96,611.09,"circle_calibrated"
37,685.32,1228.62,0,0,685.32,1228.62,2428,201.58,135.49,328962.27,139,124,55.6,1.12,-3305.588,4718.168,361.4,322.4,16413.28,1228.62,685.32,"circle_calibrated"
38,626.72,3290.99,0,2,626.72,790.99,75,103.26,83.13,6234.62,11,9,9.77,1.22,2056.574,4870.528,28.6,23.4,507,3290.99,626.72,"circle_calibrated"
