"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source"
"A53",-2034.734,2480.114,2987.5,100,44,44,100,"Polyamide (naturally occurring)",0.898473024242733,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",61.6749798532298,2.26956480933648,0.215068793735458,"circle_calibrated"
"A54",1022.45,-841.49,2950,74,57,57,74,"Polyethylene terephthalate",0.922683503707088,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",61.2866760150094,1.31250003161014,0.0272537070161607,"circle_calibrated"
"A55",-5000.866,2466.23,2887.5,99,59,59,99,"Polyethylene terephthalate",0.913073340982825,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",60.633977153266,0.597484148081609,0.172225221097964,"circle_calibrated"
"A56",-2238.158,-980.85,2862.5,64,57,57,64,"Polyamide (naturally occurring)",0.910238033900315,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",60.3709217819672,1.12359546800437,0.0351565017260782,"circle_calibrated"
"A57",-1143.402,3388.528,2712.5,60,60,60,60,"Cellulosic",0.822302459045794,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",58.7678676241884,1,0.00600290478559762,"circle_calibrated"
"A58",-710.19,3485.196,2700,80,45,45,80,"Cellulosic",0.870641190372022,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",58.6323014283504,0.5625,0.120937439065733,"circle_calibrated"
"A59",1437.488,-4633.252,2625,91,45,45,91,"Cellulosic",0.942414338697657,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",57.8122288528111,0.492125970663283,0.0709452053529067,"circle_calibrated"
"A60",2169.518,553.592,2612.5,85,49,49,85,"Polyethylene terephthalate",0.918982893681545,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",57.6744164306897,1.72881339107393,0.133797624674322,"circle_calibrated"
"A61",612.923999999999,3315.338,2600,132,39,39,132,"Cellulosic",0.955328688477602,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",57.5362739175159,0.297640633911645,0.229036327466917,"circle_calibrated"
"A62",-4106.934,-4149.938,2487.5,78,53,53,78,"Polyamide (naturally occurring)",0.93182349408159,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",56.2777342074885,0.674157369262837,0.113820361839015,"circle_calibrated"
"A63",-5850.182,-767.286,2462.5,73,54,54,73,"Carbonate",0.860504115038641,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.9942173702815,0.735849120257435,0.0313610165995284,"circle_calibrated"
"A64",-737.021999999999,3649.958,2437.5,55,55,55,55,"Carbonate",0.732827477267805,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.7092576713418,1,0.231872748298315,"circle_calibrated"
"A65",-4048.07,3775.096,2437.5,60,60,60,60,"Polyamide (naturally occurring)",0.92175196503736,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.7092576713418,1,0.117355498496517,"circle_calibrated"
"A66",-890.084,3547.388,2387.5,180,30,30,180,"Cellulosic",0.94209901081891,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.1349200875017,6,0.238086030729663,"circle_calibrated"
"A67",1671.072,4291.118,2387.5,64,53,53,64,"Polyamide (naturally occurring)",0.925614174181343,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",55.1349200875017,0.833333308357424,0.0428487982844787,"circle_calibrated"
"A68",5936.034,316.42,2287.5,70,45,45,70,"Polyamide (naturally occurring)",0.92593733437578,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",53.9679113787229,1.55555555555556,0.0417932592562695,"circle_calibrated"
