"match_id","triage_score","tier","material_a","material_b","family_a","family_b","match_distance","ambiguity_score","ftir_x_um","ftir_y_um","raman_x_um","raman_y_um","ftir_x_aligned","ftir_y_aligned"
101,1.59537803342348,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",18.5810611015835,0.204783711203824,4200,9000,7645.64051555476,-2234.01891053082,2298.58299506191,-4575.86893080183
60,1.58461251835425,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",21.6037706251205,0.184287406051523,2900,5400,9201.93773435826,1220.71980682791,3859.96704926672,-1090.0442599763
191,1.56850581262642,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",22.2859663324128,0.172823074651146,6875,1075,5561.77518753678,5842.53792139341,225.912262415895,3509.51743276772
83,1.56430979056125,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",19.4226109282536,0.185041840639357,3700,8850,8146.22744834585,-2144.46436750856,2807.30624565432,-4463.77951433196
61,1.5610996756771,"Disagree","Cellulose","Polyamide (PA)","Cellulose","PA",18.9437816487902,0.1858309295946,2950,6300,9102.62404241691,363.062837114726,3743.28391786538,-1981.95011326921
26,1.5573929605655,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",33.3838123264651,0.111777418650422,2050,10250,9724.33923532145,-3628.42907079409,4345.17604829481,-5979.67048243224
97,1.55050091884644,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",26.9041853401726,0.140729532722359,4125,2800,8188.70844952308,3887.83779965753,2834.26578341722,1588.40795250785
4,1.54035152428588,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",19.454754481385,0.172901989736017,650,6950,11358.1355778942,-482.538713345462,5983.76512991426,-2799.82338689257
294,1.53283320858372,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",19.9833333316816,0.166499937633449,10400,5500,1750.54050083944,1713.84386103382,-3611.0023495792,-631.839337489136
149,1.52907389858934,"Disagree","Protein","Polyamide (PA)","Protein","PA",26.1506210604922,0.133783843992211,5400,11400,6305.19270813823,-4534.88178510274,925.947707834635,-6874.96454700488
212,1.52901311918156,"Disagree","Protein","Polyamide (PA)","Protein","PA",20.4813171180867,0.162099974000346,7550,4275,4684.02585240193,2684.01807710831,-683.765698776997,375.271305099881
76,1.52589610777962,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",13.8170128655168,0.193862989562224,3325,9950,8469.42749784285,-3262.17395253639,3098.68416078529,-5586.31697782213
292,1.51521253876285,"Family","PET","Polyethylene terephtalate (PET)","PET","PET",73.0407047555563,0.392402745603641,10425,5775,1720.68898649869,1492.82784139555,-3656.33047899754,-903.643157312951
77,1.50406325005239,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",13.6999745989942,0.183531752031223,3300,10025,8462.53868684114,-3331.06206255351,3117.98541763896,-5662.81137164359
274,1.50263296898925,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",15.3585510291043,0.174523729349103,9750,5850,2355.60773382317,1287.31164651113,-2990.18968251693,-1028.47317161166
234,1.49939003879891,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",13.6821816813158,0.181284110992874,8050,4500,4150.14299976923,2504.33492348031,-1198.06613634754,188.546557134588
184,1.49831150956967,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",20.4672970847799,0.146819269360934,6650,11225,5039.37368657359,-4265.64408845248,-304.961047473318,-6607.86232387985
208,1.47283350810518,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",14.614544616459,0.163344030970293,7475,5850,4630.63756713866,1113.94323630137,-726.2512938226,-1197.64784328203
29,1.47185840974602,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",19.7052351667268,0.137403029039378,2150,9000,9678.98789622684,-2412.55392899187,4338.61538926999,-4728.31204153776
318,1.46948677255762,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",23.0111900300511,0.119687436128554,11350,8550,555.905859625828,-1255.80774828767,-4783.18881896567,-3596.36511657962
91,1.46666358370498,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",19.9178799861905,0.133742391921538,3975,3375,8302.9478986348,3350.51054152397,2940.77801290895,1005.04937042003
196,1.45469925550169,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",23.8782903486698,0.107958176007497,6950,6450,5088.16943116906,480.172624143835,-248.42146917983,-1833.77080409237
72,1.45373954819403,"Disagree","Protein","Polyacrylamide/acrylate","Protein","Acrylate",12.7433947953535,0.163152800120249,3250,3475,9019.95831039636,3167.9570499786,3654.81663472713,851.62278763742
1,1.45259067539026,"Disagree","Protein","Cellulose Acetate Butyrate (CAB)","Protein","Cellulose",15.5144085523302,0.148723294933479,500,6900,11506.245014431,-425.706022581336,6136.75391755719,-2761.22087318524
