Particle Name;Material;HQI;RamanSignal;FluorescenceSignal;Area [µm²];Aspect Ratio;CE Diameter [µm];Circularity;Convex Area [µm²];Convex Perimeter [µm];Convexity;Feret Max [µm];Feret Min [µm];Focus Z Position [µm];Length [µm];Num Pixels;Perimeter [µm];SE Volume [µm³];Solidity;Width [µm];Visual Center Point X [µm];Visual Center Point Y [µm];Visual Center Point Z [µm]
363;Cellulose Acetate Butyrate (CAB)   ;93.20;0.0373519611102966;47.6207878583238;348.668;0.646;21.070;0.780;372.066;74.345;0.877;29.524;17.033;9.030;27.555;1058.000;84.813;4897.578;0.937;17.796;5367.16627673841;6241.51489190925;-13.2399997711182
272;Cellulose Acetate Butyrate (CAB)   ;93.20;2.82308317700915;180.234518424436;1391.870;0.577;42.097;0.803;1480.190;148.319;0.901;60.077;33.689;-0.180;58.361;4223.500;164.663;39062.643;0.940;33.689;4224.19771803764;-3664.02126096961;-13.2399997711182
595;Cellulose Acetate Butyrate (CAB)   ;93.09;3.31725096510818;99.2172897379776;693.710;0.758;29.720;0.831;732.598;101.471;0.903;35.592;26.981;27.470;35.592;2105.000;112.334;13744.566;0.947;26.981;8254.15215403934;5832.20470489084;-13.2399997711182
360;Polyethylene terephtalate (PET)   ;93.07;5.38895033767332;404.551329584608;91420.473;0.320;341.175;0.476;108696.990;1500.787;0.666;656.270;211.368;73.540;660.172;277407.000;2253.419;20793566.954;0.841;211.368;2679.95591848713;2856.23835215111;-13.2399997711182
731;Cellulose Acetate Butyrate (CAB)   ;93.07;1.56583218408334;293.138363999272;1531.271;0.973;44.155;0.788;1630.796;149.377;0.848;56.424;41.077;-0.180;45.852;4646.500;176.144;45075.628;0.939;44.620;7751.26895091434;-3001.54726963827;-13.2399997711182
179;Polyacrylamide/acrylate;93.05;2.84914297968069;381.050656807007;657.789;0.940;28.940;0.933;672.454;93.391;0.959;31.835;27.826;9.030;30.038;1996.000;97.408;12690.937;0.978;28.240;400.333544503825;2322.35549951841;-13.2399997711182
528;Cellulose Acetate Butyrate (CAB)   ;93.04;6.04891489146542;267.239476221816;2866.128;0.990;60.409;0.688;3240.171;218.377;0.792;83.748;53.371;9.030;66.863;8697.000;275.825;115426.912;0.885;66.210;10013.0952298099;-622.037136130137;-13.2399997711182
62;Cellulose Acetate Butyrate (CAB)   ;93.00;2.90225309724782;126.914061150027;739.189;0.714;30.678;0.805;812.679;106.486;0.890;38.667;26.625;18.250;37.378;2243.000;119.699;15118.085;0.910;26.682;10891.4186325282;2449.22443546661;-13.2399997711182
319;Cellulose Acetate Butyrate (CAB)   ;92.99;0.935308891071391;85.2752515982047;987.013;0.903;35.450;0.781;1037.105;115.229;0.808;39.037;34.207;18.250;37.866;2995.000;142.628;23326.421;0.952;34.207;9317.89938622042;1295.92266026327;-13.2399997711182
761;Cellulose Acetate Butyrate (CAB)   ;92.98;2.55810158246324;147.551673500531;738.365;0.967;30.661;0.622;844.316;108.697;0.702;37.630;32.288;-0.180;33.385;2240.500;154.921;15092.817;0.875;32.288;6085.32482366692;-3075.60198790668;-13.2399997711182
540;Cellulose Acetate Butyrate (CAB)   ;92.90;2.19839604354736;124.154342937725;929.176;0.292;34.396;0.691;997.559;145.772;0.932;64.953;19.271;18.250;65.932;2819.500;156.381;21306.446;0.931;19.271;4659.91501389594;5924.055518247;-13.2399997711182
704;Polyethylene terephtalate (PET)   ;92.90;14.4879772605589;458.218007555596;1859.341;0.446;48.656;0.759;1952.605;179.865;0.893;75.736;33.749;27.470;75.740;5642.000;201.509;60311.828;0.952;33.749;8472.29783576023;3616.87790025685;-13.2399997711182
634;Cellulose Acetate Butyrate (CAB)   ;92.90;4.33625867091938;108.523514775744;1697.860;0.692;46.495;0.772;1815.346;159.634;0.843;56.830;39.247;27.470;56.720;5152.000;189.273;52627.974;0.935;39.247;8505.01968801837;5730.59474261558;-13.2399997711182
776;Polyethylene terephtalate (PET)   ;92.86;10.5893400463278;426.542723341218;905.613;1.000;33.957;0.858;946.478;110.001;0.884;36.461;33.100;27.470;34.444;2748.000;124.373;20501.138;0.957;34.444;3669.07436481632;5513.59719606164;-13.2399997711182
408;Cellulose Acetate Butyrate (CAB)   ;92.83;9.26737341995853;229.039431083618;464.341;0.925;24.315;0.920;478.677;79.128;0.953;26.187;22.883;-0.180;24.743;1409.000;82.992;7526.956;0.970;22.883;5533.07180836298;-3889.62982127568;-13.2399997711182
728;Polyacrylamide/acrylate   ;92.77;0.811081423516568;185.895153955864;1298.771;0.570;40.665;0.797;1413.950;145.067;0.905;54.684;30.770;-9.400;54.022;3941.000;160.325;35209.716;0.919;30.770;6112.30600009029;-4643.95462596318;-13.2399997711182
475;Cellulose Acetate Butyrate (CAB)   ;92.76;2.02762213085676;94.2189876771165;640.982;0.961;28.568;0.804;706.728;101.206;0.906;35.686;29.868;18.250;31.670;1945.000;111.662;12207.656;0.907;30.446;5066.92893058044;6035.42462944135;-13.2399997711182
357;Polyacrylamide/acrylate   ;92.74;0.272052591032381;129.347539743214;535.360;0.804;26.108;0.900;550.025;87.436;0.959;33.286;23.307;-0.180;29.277;1624.500;91.168;9318.209;0.973;23.537;4145.55045910142;492.228043396833;-13.2399997711182
753;Cellulose Acetate Butyrate (CAB)   ;92.64;0.00511314657993675;27.2666597545307;895.727;0.675;33.771;0.853;933.461;112.394;0.904;42.116;28.545;55.100;42.266;2718.000;124.373;20166.338;0.960;28.545;904.938950379252;2560.01947907748;-13.2399997711182
507;Polyamide (PA)    ;92.56;4.56408527773123;320.549482452965;1277.020;0.799;40.323;0.874;1318.050;131.405;0.907;46.499;36.166;9.030;45.828;3875.000;144.924;34328.943;0.969;36.619;1736.76287883601;-601.944770708476;-13.2399997711182
26;Polyethylene terephtalate (PET)   ;92.53;17.0542843897924;915.953329214142;49919.954;0.416;252.111;0.557;55294.973;975.007;0.686;411.529;170.931;73.540;411.058;151477.500;1422.216;8390253.156;0.903;170.931;1720.68898649869;1492.82784139555;-13.2399997711182
3;Polyethylene terephtalate (PET)   ;92.50;4.80445759545702;165.901572506166;1121.471;0.974;37.788;0.853;1162.006;122.181;0.878;41.753;36.376;18.250;38.829;3403.000;139.183;28251.779;0.965;37.803;10287.4995347114;2507.77932898116;-13.2399997711182
491;Cellulose Acetate Butyrate (CAB)   ;92.49;0.275043211417927;49.0741280563395;1372.426;0.570;41.802;0.530;1680.229;158.110;0.638;60.889;34.341;9.030;60.222;4164.500;248.015;38246.982;0.817;34.341;7537.14174227779;-4053.81315014983;-13.2399997711182
27;Cellulose Acetate Butyrate (CAB)   ;92.43;6.72400352334848;352.935596087663;428.255;0.799;23.351;0.547;572.105;90.669;0.676;32.068;22.963;9.030;28.910;1299.500;134.173;6666.798;0.749;23.105;6178.32377219003;831.501985231164;-13.2399997711182
684;Cellulose Acetate Butyrate (CAB)   ;92.40;7.7562010409685;200.841895054876;738.035;0.752;30.654;0.902;760.774;100.527;0.942;34.910;26.443;18.250;35.172;2239.500;106.733;15082.713;0.970;26.443;4232.2346642063;3648.45161734803;-13.2399997711182
315;Cellulose Acetate Butyrate (CAB)   ;92.39;1.37275732618235;97.1191929466923;2415.793;0.845;55.461;0.725;2727.221;192.561;0.802;67.895;54.427;18.250;65.173;7330.500;240.209;89320.937;0.886;55.075;7773.65758666991;1294.20045751284;-13.2399997711182
484;Cellulose Acetate Butyrate (CAB)   ;92.37;1.42510634516903;94.3062229105359;1086.703;0.892;37.197;0.730;1240.440;129.034;0.806;44.839;36.740;27.470;42.248;3297.500;160.070;26948.220;0.876;37.705;8188.70844952308;3887.83779965753;-13.2399997711182
165;Cellulose Acetate Butyrate (CAB)   ;92.36;0.317962851025783;76.5740161312809;756.161;0.914;31.029;0.866;802.298;104.540;0.929;36.199;29.722;9.030;33.296;2294.500;112.589;15641.736;0.942;30.426;10777.1791834165;2330.96651327055;-13.2399997711182
41;Cellulose Acetate Butyrate (CAB)   ;92.32;0.00525802325946716;27.4980959853921;339.935;0.608;20.804;0.859;353.281;72.602;0.955;28.182;16.496;27.470;27.615;1031.500;76.046;4714.729;0.962;16.797;10313.9066435513;2475.05747672303;-13.2399997711182
422;Cellulose Acetate Butyrate (CAB)   ;92.30;9.3952701353835;143.289006169296;609.674;0.835;27.861;0.858;637.521;91.249;0.895;32.148;25.868;9.030;31.067;1850.000;102.001;11324.276;0.956;25.938;4853.37578952736;428.506541630994;-13.2399997711182
501;Cellulose Acetate Butyrate (CAB)   ;92.29;0.394681465210288;70.2690630547163;1801.340;0.494;47.891;0.768;1959.690;173.790;0.887;68.650;34.455;9.030;69.766;5466.000;195.965;57511.847;0.919;34.455;1504.26550752822;-2654.81044921875;-13.2399997711182
754;Cellulose Acetate Butyrate (CAB)   ;92.21;6.59184179229327;281.945328495138;612.311;0.707;27.922;0.799;652.187;94.054;0.856;33.375;23.537;18.250;33.296;1858.000;109.841;11397.811;0.939;23.537;3995.1447522307;3565.78588532748;-13.2399997711182
557;Polyacrylamide/acrylate   ;92.21;1.00668224508577;320.967454393811;512.291;0.491;25.540;0.779;549.036;92.169;0.895;37.314;18.724;-0.180;38.170;1554.500;103.010;8722.459;0.933;18.724;6641.02224447171;-2715.08754548373;-13.2399997711182
703;Cellulose Acetate Butyrate (CAB)   ;92.14;3.65949987662062;231.332731763415;665.204;0.504;29.103;0.809;695.852;104.481;0.924;41.874;21.470;9.030;42.593;2018.500;113.031;12906.129;0.956;21.470;9000.44001255818;960.093123929794;-13.2399997711182
646;Cellulose Acetate Butyrate (CAB)   ;92.03;5.18393492506912;195.352149615659;1610.199;0.574;45.279;0.766;1723.401;162.478;0.875;64.365;34.638;9.030;62.063;4886.000;185.747;48605.237;0.934;35.613;6295.43355921914;-793.68334358947;-13.2399997711182
131;Polyacrylamide/acrylate   ;92.00;6.04678545177143;278.078064987551;1313.601;0.888;40.897;0.801;1376.710;134.231;0.837;47.200;38.098;27.470;43.852;3986.000;160.407;35814.493;0.954;38.958;3639.22285047557;4283.94443225599;-13.2399997711182
168;Cellulose Acetate Butyrate (CAB)   ;91.99;1.26748927221222;139.477611061076;666.522;0.871;29.131;0.887;697.171;96.346;0.934;31.662;27.317;-0.180;31.355;2022.500;103.207;12944.512;0.956;27.317;555.905859625828;-1255.80774828767;-13.2399997711182
628;Cellulose Acetate Butyrate (CAB)   ;91.99;3.57587983077717;135.697633963168;794.389;0.556;31.803;0.607;951.256;118.298;0.719;45.839;25.586;9.030;46.029;2410.500;164.548;16842.772;0.835;25.586;9424.67595674696;1030.70343669735;-13.2399997711182
601;Polyethylene terephtalate (PET)   ;91.94;16.588883305363;514.88627284973;6964.786;0.648;94.169;0.666;7441.320;321.237;0.723;123.235;79.845;27.470;123.198;21134.000;444.038;437245.578;0.936;79.845;11220.9334254434;2692.05502327697;-13.2399997711182
368;Polyethylene terephtalate (PET)   ;91.93;8.22938435326952;286.384462658266;4543.720;0.837;76.061;0.639;5017.948;262.305;0.701;88.111;73.131;9.030;87.373;13787.500;374.093;230399.302;0.905;73.131;7610.04832537924;-1564.0820406143;-13.2399997711182
55;Polyethylene terephtalate (PET)   ;91.85;2.33740631185332;132.938779386055;802.793;0.732;31.971;0.715;922.750;118.685;0.845;47.648;25.962;9.030;41.299;2436.000;140.528;17110.740;0.870;30.251;9341.43615714294;-60.0249719071062;-13.2399997711182
141;Polyethylene terephtalate (PET)   ;91.82;16.8877958650563;561.107652515892;11156.872;0.533;119.186;0.578;12339.640;437.623;0.675;176.338;90.450;27.470;170.706;33854.500;648.295;886497.423;0.904;90.985;11124.4900714195;3282.7705666738;-13.2399997711182
402;Polyethylene terephtalate (PET)   ;91.82;4.73741747163256;234.153638210757;6816.157;0.827;93.159;0.719;7154.444;305.917;0.752;105.541;86.384;27.470;104.475;20683.000;406.856;423324.271;0.953;86.384;4406.17714199954;3965.91099101027;-13.2399997711182
109;Polyacrylamide/acrylate   ;91.74;0.673689159567171;149.016628889232;1132.840;0.525;37.979;0.830;1182.933;133.002;0.925;53.962;28.264;-9.400;53.915;3437.500;143.833;28682.495;0.958;28.289;2492.80988627394;-3304.65495371361;-13.2399997711182
335;Cellulose Acetate Butyrate (CAB)   ;91.72;0.923098771246125;84.6447379800014;679.210;0.627;29.407;0.673;769.837;105.665;0.770;39.793;24.393;9.030;38.901;2061.000;137.247;13315.880;0.882;24.398;9678.98789622684;-2412.55392899187;-13.2399997711182
597;Polyamide (PA)    ;91.68;2.04936263260829;118.844375773985;1628.819;0.635;45.540;0.807;1716.809;156.336;0.882;60.427;37.107;9.030;58.434;4942.500;177.177;49450.751;0.949;37.118;9672.09908522513;1834.97212114726;-13.2399997711182
381;Cellulose Acetate Butyrate (CAB)   ;91.66;3.82199718485569;142.483406905514;828.168;0.672;32.472;0.823;902.153;112.461;0.907;42.481;28.508;18.250;42.418;2513.000;123.979;17928.403;0.918;28.508;2186.25779669774;4904.51148999358;-13.2399997711182
32;Cellulose Acetate Butyrate (CAB)   ;91.63;3.0669130627016;206.990671970889;708.375;0.947;30.032;0.480;924.068;110.308;0.561;37.578;32.621;18.250;34.819;2149.500;196.580;14182.704;0.767;32.968;8634.18489430047;3438.91694937928;-13.2399997711182
485;Polyacrylamide/acrylate   ;91.60;3.41746181457356;186.508573394039;357.730;0.479;21.342;0.806;381.953;78.283;0.941;32.148;15.816;-0.180;33.001;1085.500;83.213;5089.764;0.937;15.816;3200.63521669988;-4020.51723030822;-13.2399997711182
216;Cellulose Acetate Butyrate (CAB)   ;91.59;0.0693529144368926;36.0489773175032;4894.859;0.559;78.945;0.736;5449.663;288.107;0.854;114.022;63.700;-0.180;113.922;14853.000;337.166;257616.777;0.898;63.700;4703.54415024012;6509.03038580908;-13.2399997711182
471;Polyethylene terephtalate (PET)   ;91.59;10.9892938526962;258.365658102982;605.719;0.724;27.771;0.903;620.549;91.746;0.949;34.673;23.391;9.030;33.296;1838.000;96.654;11214.273;0.976;24.111;1123.08463210014;-1614.02592037671;-13.2399997711182
