Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[427;334],[10675;8350],0.757,Protein3,Protein,25,10,6250.0,150.0,53.1,80.0,132629.141,132.62914
MP_-1,[428;204],[10700;5100],0.690,Protein1,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[428;214],[10700;5350],0.756,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[428;237],[10700;5925],0.773,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[428;294],[10700;7350],0.766,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[430;298],[10750;7450],0.660,Protein6,Protein,25,2,1250.0,50.0,31.8,25.0,15915.494,15.91549
MP_-1,[430;374],[10750;9350],0.753,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[436;230],[10900;5750],0.834,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[438;208],[10950;5200],0.782,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[440;341],[11000;8525],0.805,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_21,[444;99],[11100;2475],0.848,PET6,PET,6,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
MP_-1,[447;99],[11175;2475],0.893,Cellulose7,Cellulose,26,52,32500.0,326.0,126.9,215.0,1649932.500,1649.93250
MP_-1,[448;148],[11200;3700],0.747,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[448;242],[11200;6050],0.894,Cellulose6,Cellulose,26,8,5000.0,104.1,61.2,50.0,122359.891,122.35989
MP_22,[459;288],[11475;7200],0.959,PET6,PET,6,191,119375.0,595.1,255.4,382.5,12196678.000,12196.67800
MP_23,[452;207],[11300;5175],0.733,PET6,PET,6,3,1875.0,75.0,31.8,52.5,23873.240,23.87324
MP_-1,[456;146],[11400;3650],0.843,Cellulose6,Cellulose,26,30,18750.0,282.9,84.4,132.5,632958.625,632.95863
MP_-1,[453;146],[11325;3650],0.756,Protein4,Protein,25,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[454;334],[11350;8350],0.781,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[454;166],[11350;4150],0.724,Protein4,Protein,25,4,2500.0,80.9,39.3,55.0,39345.266,39.34527
MP_-1,[454;342],[11350;8550],0.694,Protein6,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[456;306],[11400;7650],0.757,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[458;349],[11450;8725],0.807,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_24,[465;126],[11625;3150],0.888,PET6,PET,6,46,28750.0,238.6,153.4,192.5,1764348.375,1764.34838
MP_-1,[463;193],[11575;4825],0.704,Protein6,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[474;292],[11850;7300],0.959,Protein4,Protein,25,16,10000.0,136.8,93.1,100.0,372283.031,372.28303
