"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"LDIR_IMG_989",1862.36935028249,11908.9548022599,3462.15277777778,113.75,102.916666666667,102.916666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_995",4881.89169702489,11880.0178354584,16107.8125,189.583333333333,173.333333333333,173.333333333333,189.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1006",12506.5544871795,11897.1314102564,4958.50694444445,151.666666666667,113.75,113.75,151.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1010",5032.53079710145,11856.7300724638,3374.13194444444,146.25,81.25,81.25,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_1022",12372.7916666667,11879.4166666667,3814.23611111111,124.583333333333,108.333333333333,108.333333333333,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1032",2428.57355442177,11868.6904761905,5750.69444444445,151.666666666667,97.5,97.5,151.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1048",8879.3537414966,11865.8163265306,2875.34722222222,119.166666666667,59.5833333333333,59.5833333333333,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1060",2043.82283197832,11832.2679539295,3608.85416666667,113.75,97.5,97.5,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1061",5088.00731552163,11835.2305979644,3843.57638888889,113.75,97.5,97.5,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1098",2287.43261622156,11786.8997279921,9887.67361111111,308.75,162.5,162.5,308.75,NA,NA,"LDIR_image"
"LDIR_IMG_1125",4502.09415584416,11729.5102813853,4518.40277777778,162.5,86.6666666666667,86.6666666666667,162.5,NA,NA,"LDIR_image"
"LDIR_IMG_1127",12508.3588709677,11760.125,4547.74305555556,113.75,86.6666666666667,86.6666666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1128",12614.994266055,11749.619648318,3198.09027777778,124.583333333333,119.166666666667,119.166666666667,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1155",5150.34722222222,11734.1443452381,4929.16666666667,135.416666666667,124.583333333333,124.583333333333,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1170",9095.37878787879,11669.1098484848,8391.31944444445,222.083333333333,173.333333333333,173.333333333333,222.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1172",1961.375,11722.8925438596,2787.32638888889,119.166666666667,108.333333333333,108.333333333333,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1175",8708.17004504504,11732.0852102102,3256.77083333333,113.75,86.6666666666667,86.6666666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1177",12319.1063218391,11690.7916666667,8508.68055555556,189.583333333333,178.75,178.75,189.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1195",4972.98363095238,11713.3482142857,1643.05555555556,113.75,59.5833333333333,59.5833333333333,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1203",2389.89351851852,11686.9398148148,3960.9375,130,86.6666666666667,86.6666666666667,130,NA,NA,"LDIR_image"
"LDIR_IMG_1214",5614.84133554084,11659.5184878587,4430.38194444445,135.416666666667,113.75,113.75,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1238",12703.5682887568,11624.2753219416,19746.0069444444,270.833333333333,173.333333333333,173.333333333333,270.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1240",8856.25887978142,11624.2643442623,8948.78472222222,162.5,140.833333333333,140.833333333333,162.5,NA,NA,"LDIR_image"
"LDIR_IMG_1254",8705.24659863946,11651.5263605442,2875.34722222222,119.166666666667,75.8333333333333,75.8333333333333,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1263",4948.82219471947,11600.6497524752,5926.73611111111,135.416666666667,119.166666666667,119.166666666667,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1303",8567.6232078853,11596.122311828,2728.64583333333,135.416666666667,70.4166666666667,70.4166666666667,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1304",8963.54844173442,11566.1466802168,3608.85416666667,124.583333333333,97.5,97.5,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1306",12881.2814748201,11571.8120503597,4078.29861111111,119.166666666667,86.6666666666667,86.6666666666667,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1331",3680.8641464312,11538.6180095659,13291.1458333333,189.583333333333,140.833333333333,140.833333333333,189.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1373",5552.26823962517,11495.7003012048,7305.72916666667,135.416666666667,130,130,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1376",12785.6693871707,11502.4964203895,8538.02083333333,232.916666666667,140.833333333333,140.833333333333,232.916666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1382",2557.79924242424,11507.7083333333,4841.14583333333,157.083333333333,92.0833333333333,92.0833333333333,157.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1385",9231.39995974235,11480.6773349436,6073.4375,146.25,130,130,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_1393",2403.60923423423,11478.7218468468,4342.36111111111,151.666666666667,102.916666666667,102.916666666667,151.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1403",1940.76264880952,11492.8608630952,3286.11111111111,157.083333333333,70.4166666666667,70.4166666666667,157.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1429",5715.96655937053,11414.0674177396,6836.28472222222,173.333333333333,167.916666666667,167.916666666667,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1434",2768.97245762712,11452.4858757062,3462.15277777778,130,92.0833333333333,92.0833333333333,130,NA,NA,"LDIR_image"
"LDIR_IMG_1441",12951.5912073491,11418.4612860892,7452.43055555556,167.916666666667,102.916666666667,102.916666666667,167.916666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1475",12793.4340172239,11393.9254052685,9652.95138888889,238.333333333333,146.25,146.25,238.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1511",2577.01678240741,11391.5509259259,4225,173.333333333333,86.6666666666667,86.6666666666667,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1520",2725.69936570429,11312.5235126859,11178.6458333333,216.666666666667,157.083333333333,157.083333333333,216.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1521",5317.06547619048,11294.9821428571,13349.8263888889,227.5,146.25,146.25,227.5,NA,NA,"LDIR_image"
"LDIR_IMG_1532",8549.98263888889,11375.150462963,4225,119.166666666667,86.6666666666667,86.6666666666667,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1544",6759.4347826087,11355.2880434783,6748.26388888889,130,113.75,113.75,130,NA,NA,"LDIR_image"
"LDIR_IMG_1594",4960.45068027211,11318.7882653061,2875.34722222222,124.583333333333,75.8333333333333,75.8333333333333,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1596",5740.15715527231,11213.8212147547,25320.6597222222,308.75,260,260,308.75,NA,NA,"LDIR_image"
"LDIR_IMG_1606",12972.5506756757,11289.5289039039,3256.77083333333,130,70.4166666666667,70.4166666666667,130,NA,NA,"LDIR_image"
"LDIR_IMG_1616",5474.38802083333,11263.3940972222,8450,227.5,146.25,146.25,227.5,NA,NA,"LDIR_image"
"LDIR_IMG_1627",7433.62449799197,11288.6922690763,4870.48611111111,113.75,97.5,97.5,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1647",8942.70424836601,11279.2524509804,2992.70833333333,130,75.8333333333333,75.8333333333333,130,NA,NA,"LDIR_image"
"LDIR_IMG_1682",9851.96078431373,11185.5162377451,7980.55555555556,205.833333333333,97.5,97.5,205.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1693",12785.5565920398,11242.736318408,3931.59722222222,157.083333333333,81.25,81.25,157.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1695",2603.31018518519,11149.8923611111,10562.5,232.916666666667,200.416666666667,200.416666666667,232.916666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1734",2778.89423076923,11181.9391025641,4958.50694444445,140.833333333333,108.333333333333,108.333333333333,140.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1738",8875.42792792793,11195.3716216216,2171.18055555556,113.75,75.8333333333333,75.8333333333333,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1755",5377.2963747646,11162.3269774011,5193.22916666667,167.916666666667,102.916666666667,102.916666666667,167.916666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1774",12967.4275846702,11102.9645721925,5486.63194444445,173.333333333333,81.25,81.25,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1783",5592.89511494253,11105.4507902299,6806.94444444445,130,119.166666666667,119.166666666667,130,NA,NA,"LDIR_image"
"LDIR_IMG_1786",9127.41272522523,11130.2984234234,4342.36111111111,124.583333333333,92.0833333333333,92.0833333333333,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1793",4799.73490009083,11072.8105131698,10767.8819444444,173.333333333333,140.833333333333,140.833333333333,173.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1800",5019.97023809524,11094.1369047619,5339.93055555556,124.583333333333,108.333333333333,108.333333333333,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_1834",5437.74324953445,11046.5351489758,5251.90972222222,162.5,157.083333333333,157.083333333333,162.5,NA,NA,"LDIR_image"
"LDIR_IMG_1845",5215.275,11068.8964285714,5134.54861111111,113.75,102.916666666667,102.916666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1857",7219.32435543278,11046.6931399632,5310.59027777778,113.75,92.0833333333333,92.0833333333333,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1879",4517.45511049724,11019.988873542,15931.7708333333,227.5,146.25,146.25,227.5,NA,NA,"LDIR_image"
"LDIR_IMG_1891",2816.6498447205,11025.826863354,4723.78472222222,130,97.5,97.5,130,NA,NA,"LDIR_image"
"LDIR_IMG_1904",5602.53571428571,10887.5531994048,32861.1111111111,406.25,373.75,373.75,406.25,NA,NA,"LDIR_image"
"LDIR_IMG_1913",5405.15625,10975.9191176471,3990.27777777778,146.25,97.5,97.5,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_1925",2908.75,10979.4208333333,2934.02777777778,113.75,81.25,81.25,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1947",2638.18306010929,10982.3804644809,3579.51388888889,113.75,92.0833333333333,92.0833333333333,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_1948",2784.86053719008,10952.3433195592,3550.17361111111,119.166666666667,97.5,97.5,119.166666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1953",8710.65200617284,10932.3505015432,12675,216.666666666667,178.75,178.75,216.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_1963",4842.5,10919.1516064257,9740.97222222222,211.25,130,130,211.25,NA,NA,"LDIR_image"
"LDIR_IMG_1981",9373.38389967638,10935.9607605178,6044.09722222222,200.416666666667,92.0833333333333,92.0833333333333,200.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2044",8276.83887283237,10878.216522158,5075.86805555556,113.75,102.916666666667,102.916666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_2047",5159.84023517382,10884.293200409,4782.46527777778,140.833333333333,97.5,97.5,140.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2054",5294.74798387097,10873.2157258065,3638.19444444444,146.25,102.916666666667,102.916666666667,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_2080",2712.91728855721,10824.7232587065,9828.99305555556,178.75,157.083333333333,157.083333333333,178.75,NA,NA,"LDIR_image"
"LDIR_IMG_2084",3068.8707165109,10840.597741433,6278.81944444445,135.416666666667,130,130,135.416666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2115",8170.08373526259,10789.6603697749,9124.82638888889,140.833333333333,135.416666666667,135.416666666667,140.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2126",5149.42004504505,10796.661036036,3256.77083333333,113.75,70.4166666666667,70.4166666666667,113.75,NA,NA,"LDIR_image"
"LDIR_IMG_2140",8529.67658730159,10814.4781746032,3080.72916666667,157.083333333333,65,65,157.083333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2151",2537.85796500921,10755.0310773481,5310.59027777778,167.916666666667,92.0833333333333,92.0833333333333,167.916666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2157",5900.06745732932,10664.4663027108,38963.8888888889,411.666666666667,335.833333333333,335.833333333333,411.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2171",9546.48630401235,10708.5117669753,12675,238.333333333333,173.333333333333,173.333333333333,238.333333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2177",9064.05654761905,10756.494047619,4107.63888888889,140.833333333333,119.166666666667,119.166666666667,140.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2195",5650.78729184307,10639.0098433531,34650.8680555556,319.583333333333,281.666666666667,281.666666666667,319.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2201",9700.14237027265,10707.2421943712,11119.9652777778,178.75,135.416666666667,135.416666666667,178.75,NA,NA,"LDIR_image"
"LDIR_IMG_2203",5074.75788288288,10725.6002252252,5427.95138888889,124.583333333333,119.166666666667,119.166666666667,124.583333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2207",9430.62081239531,10705.5244974874,5838.71527777778,178.75,113.75,113.75,178.75,NA,NA,"LDIR_image"
"LDIR_IMG_2217",8729.8831300813,10740.1930894309,4811.80555555556,151.666666666667,97.5,97.5,151.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2227",5293.96469465649,10672.352894402,15374.3055555556,205.833333333333,189.583333333333,189.583333333333,205.833333333333,NA,NA,"LDIR_image"
"LDIR_IMG_2234",2784.82913669065,10715.8033573141,8156.59722222222,162.5,113.75,113.75,162.5,NA,NA,"LDIR_image"
"LDIR_IMG_2269",2181.5854519774,10659.9234934087,5193.22916666667,146.25,108.333333333333,108.333333333333,146.25,NA,NA,"LDIR_image"
"LDIR_IMG_2293",9292.20238095238,10640.7142857143,5339.93055555556,151.666666666667,146.25,146.25,151.666666666667,NA,NA,"LDIR_image"
"LDIR_IMG_2298",8541.58442982456,10649.0953947368,2229.86111111111,113.75,65,65,113.75,NA,NA,"LDIR_image"
